routeId,sourceId,selectionMode,selectedKnowledgePointIds,questionType,setKind,generationPatternGroupIds,compatiblePatternSpecIds,currentVerifiedMaxQuestionCount,currentQualityStatus,currentUniqueItemSetCount,r04GapCodes
pgc_r03_g5a_u03_5a03a1_numeric_ed15f0522549,g5a_u03_5a03a1,singleKnowledgePoint,kp_g5a_u03a1_common_multiple_lcm,numeric,single-form,pg_g5a_u03a1_common_multiple_lcm,ps_g5a_u03a1_lcm_direct|ps_g5a_u03a1_first_common_multiples,1,BOUNDED_DIVERSITY,7,CAPACITY_BELOW_20|BOUNDED_DIVERSITY
pgc_r03_g5a_u03_5a03a1_numeric_e8d7e0f90ee4,g5a_u03_5a03a1,singleKnowledgePoint,kp_g5a_u03a1_factor_multiple_language,numeric,single-form,pg_g5a_u03a1_factor_multiple_language,ps_g5a_u03a1_factor_multiple_statement_truth|ps_g5a_u03a1_choose_correct_relation_statement,3,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u03_5a03a1_numeric_e71fcbd2d5c7,g5a_u03_5a03a1,singleKnowledgePoint,kp_g5a_u03a1_grouping_constraints,numeric,single-form,pg_g5a_u03a1_grouping_constraints,ps_g5a_u03a1_minimum_common_group_total|ps_g5a_u03a1_possible_common_totals_in_range,2,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u03_5a03a1_numeric_7229982fb828,g5a_u03_5a03a1,singleKnowledgePoint,kp_g5a_u03a1_number_constraint_construction,numeric,single-form,pg_g5a_u03a1_number_constraint_construction,ps_g5a_u03a1_construct_number_divisibility|ps_g5a_u03a1_possible_digits_for_divisibility,1,DIVERSE_PARAMETER_GENERATOR,8,CAPACITY_BELOW_20
pgc_r03_g5a_u03_5a03a1_numeric_4d5644856dd4,g5a_u03_5a03a1,mixedKnowledgePointsSameUnit,kp_g5a_u03a1_common_multiple_lcm|kp_g5a_u03a1_bounded_common_multiples|kp_g5a_u03a1_factor_multiple_language|kp_g5a_u03a1_grouping_constraints|kp_g5a_u03a1_number_constraint_construction,numeric,mixed-all,pg_g5a_u03a1_common_multiple_lcm|pg_g5a_u03a1_bounded_common_multiples|pg_g5a_u03a1_factor_multiple_language|pg_g5a_u03a1_grouping_constraints|pg_g5a_u03a1_number_constraint_construction,ps_g5a_u03a1_lcm_direct|ps_g5a_u03a1_first_common_multiples|ps_g5a_u03a1_bounded_common_multiples|ps_g5a_u03a1_count_common_multiples_interval|ps_g5a_u03a1_factor_multiple_statement_truth|ps_g5a_u03a1_choose_correct_relation_statement|ps_g5a_u03a1_minimum_common_group_total|ps_g5a_u03a1_possible_common_totals_in_range|ps_g5a_u03a1_construct_number_divisibility|ps_g5a_u03a1_possible_digits_for_divisibility,5,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g6a_u01_6a01_numeric_0fbd0df575e9,g6a_u01_6a01,singleKnowledgePoint,kp_g6a_u01_prime_composite_classification,numeric,single-form,pg_g6a_u01_prime_composite_classification,ps_g6a_u01_classify_prime_composite_neither|ps_g6a_u01_list_primes_in_interval,3,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g6a_u01_6a01_numeric_483650ad5611,g6a_u01_6a01,singleKnowledgePoint,kp_g6a_u01_prime_factorization,numeric,single-form,pg_g6a_u01_prime_factorization,ps_g6a_u01_prime_factorization_product|ps_g6a_u01_prime_factorization_exponents,1,DIVERSE_PARAMETER_GENERATOR,9,CAPACITY_BELOW_20
pgc_r03_g6a_u01_6a01_numeric_b88083effaa9,g6a_u01_6a01,singleKnowledgePoint,kp_g6a_u01_short_division_common_factors,numeric,single-form,pg_g6a_u01_short_division_common_factors,ps_g6a_u01_short_division_trace|ps_g6a_u01_short_division_common_product,6,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g6a_u01_6a01_numeric_bf6a96b9f4f9,g6a_u01_6a01,singleKnowledgePoint,kp_g6a_u01_greatest_common_factor,numeric,single-form,pg_g6a_u01_greatest_common_factor,ps_g6a_u01_gcf_direct|ps_g6a_u01_gcf_from_prime_exponents,9,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g6a_u01_6a01_numeric_61c91fca4382,g6a_u01_6a01,singleKnowledgePoint,kp_g6a_u01_least_common_multiple,numeric,single-form,pg_g6a_u01_least_common_multiple,ps_g6a_u01_lcm_direct|ps_g6a_u01_lcm_from_prime_exponents,1,BOUNDED_DIVERSITY,7,CAPACITY_BELOW_20|BOUNDED_DIVERSITY
pgc_r03_g6a_u01_6a01_numeric_7dfce6921c92,g6a_u01_6a01,mixedKnowledgePointsSameUnit,kp_g6a_u01_prime_composite_classification|kp_g6a_u01_prime_factorization|kp_g6a_u01_short_division_common_factors|kp_g6a_u01_greatest_common_factor|kp_g6a_u01_least_common_multiple,numeric,mixed-all,pg_g6a_u01_prime_composite_classification|pg_g6a_u01_prime_factorization|pg_g6a_u01_short_division_common_factors|pg_g6a_u01_greatest_common_factor|pg_g6a_u01_least_common_multiple,ps_g6a_u01_classify_prime_composite_neither|ps_g6a_u01_list_primes_in_interval|ps_g6a_u01_prime_factorization_product|ps_g6a_u01_prime_factorization_exponents|ps_g6a_u01_short_division_trace|ps_g6a_u01_short_division_common_product|ps_g6a_u01_gcf_direct|ps_g6a_u01_gcf_from_prime_exponents|ps_g6a_u01_lcm_direct|ps_g6a_u01_lcm_from_prime_exponents,6,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g3a_u08_3a08_numeric_6a58dba0769d,g3a_u08_3a08,sourceUnit,,numeric,source-unit,,ps_g3a_u08_part_whole_fraction_fraction_numeric|ps_g3a_u08_unit_fraction_accumulation_fraction_numeric|ps_g3a_u08_discrete_set_fraction_item_count_numeric|ps_g3a_u08_discrete_set_fraction_fractional_units_numeric|ps_g3a_u08_same_denominator_compare_comparison_numeric,2,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g3a_u08_3a08_numeric_a1440e23c451,g3a_u08_3a08,singleKnowledgePoint,kp_g3a_u08_part_whole_fraction,numeric,single-form,pg_g3a_u08_part_whole_fraction_numeric,ps_g3a_u08_part_whole_fraction_fraction_numeric,2,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g3a_u08_3a08_numeric_998ffbc8889c,g3a_u08_3a08,singleKnowledgePoint,kp_g3a_u08_unit_fraction_accumulation,numeric,single-form,pg_g3a_u08_unit_fraction_accumulation_numeric,ps_g3a_u08_unit_fraction_accumulation_fraction_numeric,10,BOUNDED_DIVERSITY,7,CAPACITY_BELOW_20|BOUNDED_DIVERSITY
pgc_r03_g3a_u08_3a08_numeric_32207c12fa17,g3a_u08_3a08,singleKnowledgePoint,kp_g3a_u08_same_denominator_compare,numeric,single-form,pg_g3a_u08_same_denominator_compare_numeric,ps_g3a_u08_same_denominator_compare_comparison_numeric,6,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
